scaffold	start	end	mid	sites	sitesUsed	ABBA	BABA	D	fd	fdM	gene_count_per_window	cM/Mb	Fst_aridus_longiflorus	Fst_aridus_longiflorus_island	Fst_aridus_parviflorus	Fst_aridus_calycinus	Fst_longiflorus_longiflorus_island	Fst_longiflorus_parviflorus	Fst_longiflorus_calycinus	Fst_longiflorus_island_parviflorus	Fst_longiflorus_island_calycinus	Fst_parviflorus_calycinus	average_dxy_ari_par	average_dxy_lon_isl_lon	average_dxy_par_isl_lon
LG2	7300001	7400000	7350832	5948	3576	99.3701	70.5941	0.1693	0.0634	0.0385	14	2.996211771	0.4824	0.4691	0.2856	0.4439	0.1894	0.3701	0.0306	0.3585	0.1564	0.2997	0.009796588174274	0.006007886744483	0.01012320193233
LG2	7400001	7500000	7453552	5111	2598	181.6038	23.932	0.7671	0.4439	0.258	16	0	0.4404	0.581	0.3924	0.5008	0.1657	0.196	0.0411	0.2726	0.2322	0.1956	0.010329834400718	0.005325684984779	0.006261431897089
LG2	7500001	7600000	7550644	5663	3179	117.9189	24.5622	0.6552	0.2199	0.1119	10	0	0.6609	0.7101	0.4098	0.7112	0.2692	0.3391	0.0318	0.3779	0.3086	0.3189	0.010482798481263	0.00453755355943	0.007977033403456
LG2	7600001	7700000	7649439	6461	3399	277.6283	14.748	0.8991	0.4499	0.2574	14	0	0.6314	0.8199	0.5697	0.6957	0.3111	0.3749	0.0302	0.5168	0.334	0.3622	0.011120968058023	0.004244611485084	0.006487888475366
LG2	7700001	7800000	7748768	5813	2864	72.8089	50.2152	0.1837	0.0587	0.0327	10	7.074085153	0.4483	0.4869	0.3071	0.392	0.2604	0.3075	0.071	0.373	0.2035	0.2471	0.010778602909597	0.006811718977209	0.010642652063131
LG2	7800001	7900000	7853801	5648	3296	43.9362	38.9596	0.06	0.0114	0.0065	15	0	0.566	0.5635	0.5593	0.5796	0.1787	0.5296	0.0762	0.5302	0.1766	0.487	0.009175789989717	0.004955464874603	0.009408081099924
LG2	7900001	8000000	7944212	5133	2795	82.1201	33.3988	0.4218	0.1306	0.0723	14	5.94013052	0.4438	0.6299	0.3885	0.5409	0.2325	0.2906	0.0973	0.4363	0.4233	0.3429	0.009032590151426	0.005189531613825	0.00744252375009
LG2	8000001	8100000	8046466	5120	3026	71.6602	24.1862	0.4953	0.1651	0.1023	10	2.832573285	0.4219	0.3727	0.2173	0.4092	0.3743	0.3543	0.1374	0.2763	0.3351	0.2905	0.010367250073205	0.008928265300818	0.010082032447524
LG2	8100001	8200000	8146992	5681	3118	60.7773	46.3216	0.135	0.039	0.0223	16	0	0.5428	0.4891	0.3559	0.4453	0.224	0.4576	0.107	0.4319	0.1746	0.3516	0.009501012884858	0.004216273701946	0.008497547761443
LG2	8200001	8300000	8249221	6386	3559	65.8877	52.221	0.1157	0.0315	0.019	14		0.4646	0.3935	0.3847	0.4093	0.1434	0.5402	0.1036	0.4784	0.0946	0.4554	0.011022386565065	0.005394734341267	0.010447326191162
LG2	8300001	8400000	8347793	5025	2896	43.1979	40.8125	0.0284	0.0059	0.0038	11	0	0.4909	0.4462	0.4005	0.4352	0.1316	0.568	0.1375	0.5406	0.1435	0.4822	0.009819604081933	0.005694503391107	0.010584052134314
LG2	8400001	8500000	8449719	6175	3471	112.7331	36.4701	0.5111	0.2154	0.11	18	0	0.474	0.4469	0.4357	0.5008	0.1121	0.3585	0.0316	0.3398	0.0943	0.346	0.009261507973407	0.004306592187248	0.00668216430695
LG2	8500001	8600000	8557111	5810	3364	41.3643	53.6325	-0.1291	-0.0243	-0.0158	16	1.394971529	0.5279	0.524	0.4593	0.5081	0.2439	0.6389	0.0588	0.6421	0.159	0.5931	0.009224185047968	0.00416305537874	0.010458803860687
LG2	8600001	8700000	8648096	6105	3660	67.3122	70.7939	-0.0252	-0.0071	-0.0046	15		0.4865	0.4589	0.4124	0.4493	0.1998	0.538	0.0428	0.5354	0.1295	0.4733	0.009498522078567	0.004270193263147	0.009468240756221
LG2	8700001	8800000	8748682	6287	3718	46.6755	103.8057	-0.3797	-0.0954	-0.0646	14		0.4362	0.4472	0.4504	0.4128	0.1456	0.6587	0.0471	0.6755	0.12	0.6148	0.010457654893547	0.002781381675208	0.010471751323145
LG2	8800001	8900000	8847062	5492	2857	76.5915	80.1878	-0.0229	-0.0075	-0.005	12		0.3391	0.4172	0.3723	0.3001	0.1377	0.5427	0.0415	0.6072	0.1534	0.4968	0.012619562951618	0.005510934010498	0.013425848411021
LG2	8900001	9000000	8947746	5849	3447	35.0234	68.5964	-0.324	-0.0682	-0.0443	11	2.096700995	0.391	0.4603	0.4922	0.3995	0.1682	0.527	0.0511	0.5886	0.1968	0.5046	0.009526145162185	0.005294030353059	0.009742311711923
LG2	9000001	9100000	9048163	6039	3326	47.3958	61.901	-0.1327	-0.0278	-0.0181	15	0.760651833	0.4477	0.5171	0.3377	0.4769	0.2203	0.4485	0.0664	0.4996	0.1914	0.4212	0.01058142772348	0.00561940962873	0.011609593218537
LG2	9100001	9200000	9151651	5241	2890	50.7832	58.5046	-0.0707	-0.0153	-0.009	13		0.62	0.6089	0.6028	0.6024	0.1739	0.6278	0.0784	0.6376	0.1496	0.5742	0.010636036346615	0.004199927981896	0.010630186232823
LG2	9200001	9300000	9249798	6928	4023	93.1644	45.2738	0.3459	0.0738	0.0469	11	2.492388112	0.4887	0.5413	0.4668	0.4479	0.2209	0.4546	0.033	0.5213	0.1916	0.385	0.013378745704031	0.007502537247189	0.012927926107359
LG2	9300001	9400000	9347626	5588	2910	155.2982	26.194	0.7113	0.4062	0.2086	15		0.5303	0.4167	0.4017	0.5165	0.2619	0.3756	0.0502	0.199	0.2308	0.3192	0.011583763001016	0.007053700605553	0.00718994374162
LG2	9400001	9500000	9443765	4454	1779	38.3792	9.0771	0.6175	0.2546	0.1276	5		0.2082	0.2485	0.1717	0.227	0.173	0.145	0.0681	0.1261	0.1876	0.1463	0.011518148514857	0.011014803007388	0.010410949363095
LG2	9500001	9600000	9552140	7040	4247	448.4508	113.8285	0.5951	0.4818	0.2475	8		0.5027	0.365	0.51	0.4822	0.2624	0.5042	0.0544	0.1243	0.201	0.4309	0.018101337528031	0.011496288081227	0.010341130786748
LG2	9600001	9700000	9639999	5655	2795	63.96	58.6136	0.0436	0.0175	0.0096	15		0.4441	0.3937	0.3943	0.4976	0.1299	0.4295	0.0525	0.3647	0.1708	0.4185	0.009908563112018	0.008151364367919	0.011071655516376
LG2	9700001	9800000	9744689	4759	2644	94.3835	28.0163	0.5422	0.1753	0.098	12	0	0.6042	0.5924	0.6251	0.5927	0.106	0.5297	0.0715	0.5212	0.0971	0.4727	0.0075340547119	0.003212292600472	0.005992390531869
LG2	9800001	9900000	9852363	5944	3498	83.0013	63.8971	0.1301	0.0382	0.0221	19	0	0.6213	0.5828	0.5368	0.5746	0.1264	0.5733	0.0234	0.5546	0.1139	0.5015	0.008317148040891	0.004156406535053	0.009389276206354
LG2	9900001	10000000	9950356	5374	2950	65.6143	24.1377	0.4621	0.0852	0.052	15	2.590102502	0.6747	0.6205	0.6072	0.6118	0.1785	0.6789	0.0236	0.6384	0.1508	0.5977	0.008255438832307	0.002409033988472	0.007104209896539
LG2	10000001	10100000	10044751	5506	3181	112.9704	34.9626	0.5273	0.1626	0.101	23	6.025478774	0.4835	0.5259	0.4358	0.4613	0.2784	0.4315	0.01	0.4954	0.2335	0.3796	0.010723752683905	0.005547226259849	0.008889968802421
LG2	10100001	10200000	10148353	6648	3523	93.249	95.5798	-0.0123	-0.0041	-0.0026	14		0.3956	0.5529	0.3701	0.3929	0.383	0.4249	0.0477	0.491	0.3003	0.3649	0.01279911637432	0.007313179204281	0.011420973287172
LG2	10200001	10300000	10264544	4598	2313	77.2038	25.1543	0.5085	0.1549	0.0997	16	0	0.3752	0.5372	0.3279	0.3397	0.2833	0.2949	0.0467	0.4397	0.2402	0.1937	0.0104187298823	0.005353467085711	0.007989696403769
LG2	10300001	10400000	10353871	5956	3063	65.8717	21.4551	0.5086	0.0843	0.0528	11	0	0.6024	0.7323	0.5564	0.5506	0.4088	0.5616	0.0158	0.6604	0.3001	0.4854	0.008210584138418	0.004362283575352	0.007745277701642
LG2	10400001	10500000	10450783	6124	3203	95.2809	59.9294	0.2278	0.0498	0.0314	16		0.6498	0.6957	0.5327	0.6285	0.2374	0.6032	0.0427	0.6323	0.2157	0.5493	0.011373193543392	0.004465701609326	0.012176804691548
LG2	10500001	10600000	10552664	5821	2993	126.457	24.0664	0.6802	0.2351	0.1386	18	0	0.5275	0.4858	0.4671	0.4891	0.2313	0.4469	0.0655	0.3721	0.1918	0.3765	0.01105680919417	0.006417737433088	0.008415674240714
LG2	10600001	10700000	10648687	6882	3839	134.029	47.1279	0.4797	0.1778	0.0914	17	0.045190387	0.5943	0.4377	0.5654	0.5555	0.2284	0.5742	0.044	0.3716	0.1608	0.5064	0.011642041555049	0.007805217184914	0.009407438839754
LG2	10700001	10800000	10751823	6711	3533	140.2445	42.984	0.5308	0.1809	0.1068	12	0	0.5251	0.5171	0.489	0.4814	0.1907	0.4971	0.0834	0.4687	0.2082	0.426	0.01145345053966	0.005565471012256	0.009013098866544
LG2	10800001	10900000	10849767	6394	3493	179.3239	55.7952	0.5254	0.2156	0.1209	18	0	0.5574	0.5814	0.5384	0.5578	0.205	0.4357	0.0296	0.4364	0.1973	0.3872	0.011841921670279	0.006344497105116	0.008965505012197
LG2	10900001	11000000	10945282	5789	2886	187.5771	28.2907	0.7379	0.4375	0.2052	9	0	0.5792	0.5393	0.5177	0.5603	0.1813	0.3547	0.0488	0.2838	0.1466	0.2878	0.014150966392267	0.00613228572434	0.007622688678196
LG2	11000001	11100000	11050154	5399	2866	192.0775	22.4863	0.7904	0.4675	0.2147	10		0.5816	0.6654	0.491	0.6052	0.2497	0.2115	0.0315	0.3216	0.2515	0.1803	0.011793201318319	0.005366882073466	0.006786253251552
LG2	11100001	11200000	11150742	6037	3540	42.8372	44.0456	-0.0139	-0.0021	-0.0013	17		0.6302	0.7132	0.4457	0.65	0.1832	0.5355	0.0432	0.6103	0.2201	0.4983	0.009177204989035	0.003281055546385	0.010541361880282
LG2	11200001	11300000	11242606	4755	2723	36.8398	35.1003	0.0242	0.0049	0.003	8		0.4599	0.4801	0.4554	0.4136	0.1559	0.4649	0.0535	0.5053	0.1179	0.4049	0.010924343038829	0.007133854064376	0.011323532134594
LG2	11300001	11400000	11354858	5829	3232	79.2497	45.8903	0.2666	0.0752	0.0446	14		0.4558	0.4671	0.44	0.4297	0.116	0.3977	0.0567	0.4388	0.0662	0.3364	0.013416094980815	0.005987342163869	0.012096545464859
LG2	11400001	11500000	11446433	5776	3369	23.5303	33.9053	-0.1806	-0.018	-0.0119	11		0.6841	0.6693	0.4734	0.6613	0.1252	0.6593	0.0656	0.6668	0.0846	0.6067	0.008480791769506	0.002811836002916	0.011512693650877
LG2	11500001	11600000	11552612	5588	3051	55.529	57.3857	-0.0164	-0.0049	-0.0032	9		0.3986	0.4936	0.3241	0.387	0.1156	0.3827	0.0016	0.4523	0.1143	0.3324	0.013397997316133	0.008349525298959	0.015656021345421
LG2	11600001	11700000	11657380	5415	2511	53.6621	42.8522	0.112	0.0229	0.0149	17	0	0.4015	0.4502	0.3531	0.3637	0.1255	0.3977	0.0243	0.4567	0.1146	0.3516	0.014747667558838	0.009048541578555	0.01603792601277
LG2	11700001	11800000	11754779	6569	3624	26.0547	52.1771	-0.3339	-0.0484	-0.031	13	0	0.5052	0.732	0.4717	0.5744	0.2656	0.5035	0.0554	0.6551	0.4092	0.5132	0.008739608943058	0.004832700624297	0.010140282319558
LG2	11800001	11900000	11839051	3888	2315	25.5163	50.4694	-0.3284	-0.0643	-0.041	15		0.5929	0.6283	0.4538	0.5678	0.3225	0.5639	0.0402	0.6026	0.2731	0.4994	0.011146062137963	0.007714944083613	0.01489444717038
LG2	11900001	12000000	11951231	6339	3687	58.7419	81.2393	-0.1607	-0.0389	-0.0225	11	0.526035983	0.632	0.6697	0.4333	0.6	0.1819	0.5124	0.1512	0.5486	0.1827	0.446	0.011880717409638	0.004901494610612	0.013410718068695
LG2	12000001	12100000	12048728	5775	3065	222.4368	43.5332	0.6726	0.3281	0.1952	15	0	0.4745	0.633	0.5106	0.4077	0.2401	0.3198	0.1108	0.3964	0.2687	0.2244	0.017857990387345	0.009290044408938	0.010323309916997
LG2	12100001	12200000	12153970	6288	3626	143.4046	24.4437	0.7087	0.2458	0.1294	14	0	0.5502	0.5606	0.4755	0.6174	0.1785	0.3649	0.1119	0.38	0.2353	0.3726	0.011606878823046	0.006648251218992	0.009448785880336
LG2	12200001	12300000	12253673	6032	3485	62.0156	41.2266	0.2014	0.0443	0.0257	9	1.043793964	0.5358	0.4716	0.4385	0.5903	0.1225	0.4735	0.1392	0.4403	0.1204	0.4663	0.011290533589148	0.006479333115421	0.011670875060546
LG2	12300001	12400000	12346085	5565	2806	60.1602	69.5768	-0.0726	-0.0305	-0.0152	8		0.3489	0.3959	0.3998	0.3517	0.1343	0.3555	0.0166	0.3773	0.0898	0.3111	0.011340333930805	0.006836184857968	0.009717406771724
LG2	12400001	12500000	12451402	6007	3469	59.9251	81.6621	-0.1535	-0.0429	-0.0246	13	0.725835096	0.4938	0.5328	0.5307	0.5229	0.1552	0.4973	0.021	0.5199	0.1296	0.4701	0.01010350173593	0.006168387578495	0.010661268317511
LG2	12500001	12600000	12554520	6421	3875	113.1064	224.2054	-0.3294	-0.195	-0.0978	7	0	0.5454	0.5213	0.39	0.4799	0.1269	0.3877	0.0609	0.4143	0.0841	0.3147	0.018195530277026	0.005390057003142	0.015487045092384
LG2	12600001	12700000	12650602	5162	2778	123.6921	19.2702	0.7304	0.3454	0.1771	12	0	0.5215	0.5066	0.5183	0.6113	0.1378	0.3782	0.0742	0.3374	0.1542	0.3954	0.00867692860432	0.00448894659113	0.005837673154194
LG2	12700001	12800000	12750647	5820	3353	60.8018	50.1872	0.0956	0.0212	0.0121	15	2.516101133	0.5611	0.5343	0.6088	0.5879	0.0934	0.5511	0.144	0.5335	0.2086	0.5287	0.009455207868103	0.004303001771643	0.008618692383682
LG2	12800001	12900000	12850837	6249	3743	27.2168	68.584	-0.4318	-0.073	-0.0445	11	0.78788336	0.5981	0.6082	0.5932	0.5929	0.178	0.6228	0.0776	0.6395	0.0946	0.5766	0.009422228777533	0.004165733020638	0.010389896127843
LG2	12900001	13000000	12950670	5135	2838	43.6335	30.3288	0.1799	0.0303	0.0177	13	0	0.6741	0.5798	0.5712	0.61	0.3257	0.5975	0.0616	0.5494	0.2272	0.5106	0.008830244464288	0.005553188433239	0.009190882298029
LG2	13000001	13100000	13045432	5375	3031	24.8568	24.388	0.0095	0.0011	0.0006	13	2.554931017	0.566	0.4902	0.5299	0.6551	0.2018	0.5594	0.0303	0.5124	0.251	0.587	0.008453945825009	0.006615884403825	0.010488389576167
LG2	13100001	13200000	13149410	6839	3896	132.0394	82.8128	0.2291	0.085	0.0487	15		0.5036	0.4191	0.4583	0.5139	0.1233	0.4508	0.0641	0.3774	0.1096	0.4207	0.012989913942009	0.007619577491858	0.011742319065086
LG2	13200001	13300000	13249540	6299	3561	119.4863	39.1921	0.506	0.1602	0.0863	14	0	0.6091	0.5456	0.5916	0.6438	0.0961	0.5332	0.1292	0.4584	0.1942	0.519	0.009938911008567	0.004701119454595	0.008595822268509
LG2	13300001	13400000	13348277	5774	3474	34.2152	64.236	-0.3049	-0.078	-0.0398	16	0	0.5289	0.5241	0.5454	0.563	0.0485	0.466	0.2718	0.4762	0.2902	0.4885	0.008984334240021	0.004275301400595	0.008762350281509
LG2	13400001	13500000	13446538	4948	3040	79.6237	22.8555	0.5539	0.1313	0.071	9		0.6825	0.7391	0.5205	0.6721	0.0835	0.4207	0.0152	0.4848	0.0996	0.357	0.010626327518302	0.004128338507851	0.009057489428109
LG2	13500001	13600000	13555104	5775	3174	50.8271	68.9105	-0.151	-0.0442	-0.0248	12		0.4097	0.4229	0.3928	0.4462	0.107	0.3848	0.06	0.4089	0.1272	0.3535	0.015014863596366	0.010516028856937	0.015743522002587
LG2	13600001	13700000	13647854	6280	3682	33.932	34.5023	-0.0083	-0.0009	-0.0006	14	0	0.6938	0.6676	0.5577	0.6677	0.1482	0.6492	0.119	0.6447	0.1133	0.5887	0.009758492206852	0.003797331321805	0.011847054310275
LG2	13700001	13800000	13748662	7581	4354	70.8815	103.4336	-0.1867	-0.0456	-0.0275	15	0.749705092	0.5663	0.5419	0.4566	0.517	0.1502	0.5896	0.1611	0.5854	0.1861	0.5134	0.012968489123848	0.006200504545369	0.015745886254505
LG2	13800001	13900000	13845896	6131	3585	74.223	66.2204	0.057	0.0168	0.0102	14		0.4274	0.3625	0.3414	0.3332	0.101	0.4297	0.0801	0.3855	0.0428	0.3308	0.012952198506192	0.007539919530614	0.013322526121409
LG2	13900001	14000000	13950705	6389	3822	101.2533	49.6647	0.3418	0.1011	0.0601	21		0.5521	0.3911	0.4545	0.4533	0.1725	0.5049	0.0861	0.368	0.1128	0.3968	0.011185160681877	0.006834904613786	0.010358886234188
LG2	14000001	14100000	14051534	6613	3753	157.5527	51.7012	0.5059	0.1816	0.1006	13		0.676	0.4788	0.5719	0.6209	0.2443	0.5706	0.1201	0.4011	0.1528	0.487	0.011891516677452	0.006183171902662	0.009268122975565
LG2	14100001	14200000	14153752	6967	3941	155.6816	47.9707	0.5289	0.2589	0.1226	11		0.5145	0.4057	0.4719	0.4791	0.1447	0.3845	0.0863	0.2438	0.1148	0.3112	0.012114036621316	0.007874749773347	0.009039497691432
LG2	14200001	14300000	14254770	5130	2843	131.2295	42.6201	0.5097	0.2509	0.1233	17		0.4656	0.4466	0.5416	0.4612	0.1554	0.3759	0.0535	0.2894	0.0874	0.2737	0.011528710354302	0.007709861734638	0.008329928276915
LG2	14300001	14400000	14354456	6562	3575	76.2979	55.8838	0.1544	0.0445	0.0252	11		0.3441	0.3401	0.4398	0.3364	0.1591	0.3427	0.0623	0.3648	0.0866	0.3079	0.012218701241899	0.012362990569076	0.013799236272293
LG2	14400001	14500000	14447052	2799	792	28.4616	25.3626	0.0576	0.0866	0.0342	6		0.268	0.111	0.0856	0.1957	0.2433	0.2504	0.0438	0.0603	0.1352	0.1486	0.015495819859777	0.020674391355292	0.015622524742458
LG2	14500001	14600000	14551594	3269	1489	54.7477	58.0264	-0.0291	-0.0182	-0.0092	10		0.3406	0.2049	0.2484	0.2506	0.1757	0.3957	0.0313	0.2218	0.0819	0.2518	0.018100697599738	0.011487211919264	0.017012351037495
LG2	14600001	14700000	14649844	6988	3884	117.6019	52.2946	0.3844	0.1296	0.0828	11		0.4841	0.3215	0.4412	0.4524	0.0922	0.5908	0.0386	0.394	0.0887	0.5352	0.010193341207653	0.005718153224689	0.009695408607004
LG2	14700001	14800000	14750390	6387	3568	148.5677	44.8281	0.5364	0.197	0.1202	9	2.616299026	0.4539	0.347	0.5368	0.449	0.1208	0.6082	0.0443	0.4247	0.1357	0.5809	0.01052892948721	0.006139594802154	0.008955942327727
LG2	14800001	14900000	14843833	5401	3227	105.4837	45.7181	0.3953	0.1388	0.0861	16		0.388	0.3154	0.4332	0.42	0.1354	0.4869	0.0192	0.3595	0.1224	0.4757	0.013525896430511	0.00879616308417	0.012187257919036
LG2	14900001	15000000	14948908	6207	3738	118.3174	66.3955	0.2811	0.1151	0.0648	16	0.136500137	0.496	0.2937	0.4886	0.4483	0.1216	0.6025	0.065	0.3477	0.106	0.5342	0.010027675380116	0.006293623636511	0.0088615869487
LG2	15000001	15100000	15048407	6553	3755	156.2135	51.3802	0.505	0.2747	0.1426	13	2.12500332	0.3781	0.285	0.4224	0.3529	0.113	0.4446	0.0413	0.2101	0.1081	0.3877	0.012289783811278	0.00801083109816	0.009083877851288
LG2	15100001	15200000	15161728	4011	2328	99.0423	19.847	0.6661	0.3478	0.1884	9		0.5115	0.269	0.4456	0.5077	0.1823	0.6189	0.0743	0.2462	0.1937	0.5746	0.008946033121665	0.006878199052644	0.007191594494014
LG2	15200001	15300000	15248653	6891	3942	194.9854	40.0817	0.659	0.4666	0.251	11	0	0.3255	0.2497	0.39	0.3852	0.1896	0.4245	0.0477	0.1289	0.2113	0.4275	0.010921814387776	0.008863215212018	0.007031547834763
LG2	15300001	15400000	15351786	7369	3838	172.4049	71.3242	0.4147	0.3062	0.164	12		0.2491	0.2427	0.2119	0.2906	0.1097	0.2233	0.0231	0.1227	0.116	0.2253	0.013421009009598	0.011250327921754	0.01067721982725
LG2	15400001	15500000	15456727	5039	2655	97.348	17.4131	0.6965	0.3234	0.1528	8		0.5454	0.3561	0.5338	0.5657	0.1653	0.5077	0.0126	0.1947	0.1596	0.4782	0.008787901302596	0.007662921650213	0.007107361901812
LG2	15500001	15600000	15547896	7796	4308	309.9626	56.9782	0.6894	0.4624	0.227	15	10.03652871	0.4922	0.4279	0.6316	0.5402	0.1779	0.5053	0.048	0.2195	0.1447	0.4714	0.015045345092889	0.010566858443501	0.008635838950312
LG2	15600001	15700000	15649279	7229	4066	199.9352	57.1383	0.5555	0.3292	0.1483	13	0.942403128	0.5559	0.377	0.5651	0.592	0.1658	0.5441	0.0804	0.2216	0.1559	0.5263	0.012154088417124	0.008362123622337	0.00806300951087
LG2	15700001	15800000	15753978	5236	2868	172.3743	24.39	0.7521	0.5052	0.2217	13		0.6097	0.4048	0.5063	0.6213	0.2162	0.4907	0.0513	0.1433	0.1883	0.4477	0.012784163607517	0.008911080393308	0.007774747968982
LG2	15800001	15900000	15847475	8039	4522	165.9417	86.9912	0.3121	0.134	0.0728	8	0	0.4473	0.3663	0.4867	0.5309	0.0847	0.4251	0.0411	0.3332	0.1119	0.4439	0.015537174648785	0.011094789497532	0.01532777471971
LG2	15900001	16000000	15947312	5786	3169	125.6637	44.695	0.4753	0.2588	0.1147	10		0.3522	0.4382	0.3449	0.4139	0.1537	0.2231	0.0346	0.2199	0.1666	0.22	0.015518327518593	0.010972109618924	0.012023248410116
LG2	16000001	16100000	16046057	5958	2972	243.5833	36.1016	0.7418	0.5055	0.2657	12		0.4678	0.3684	0.384	0.4382	0.2544	0.277	0.0359	0.1271	0.2191	0.2465	0.016834044070027	0.013845513777102	0.011042886762047
LG2	16100001	16200000	16144572	5666	2981	305.6842	50.1504	0.7181	0.5046	0.2956	12	0	0.4838	0.3855	0.4563	0.4983	0.2084	0.4373	0.0552	0.1971	0.1601	0.3958	0.015554429893368	0.009028357268697	0.009299404862016
LG2	16200001	16300000	16256923	4150	2224	235.486	28.0459	0.7872	0.5967	0.3341	9	2.950685878	0.292	0.4281	0.3367	0.2843	0.1426	0.1247	0.0589	0.1216	0.2576	0.2156	0.018526118528929	0.011862487370799	0.010340192069047
LG2	16300001	16400000	16349326	7500	4270	374.1641	76.6615	0.6599	0.4488	0.241	10	3.159099818	0.4501	0.3805	0.4358	0.4743	0.0939	0.3969	0.0234	0.2164	0.0985	0.3931	0.017869972585618	0.009190949503062	0.010917597343068
LG2	16400001	16500000	16451146	7639	4590	126.0241	113.3314	0.053	0.0214	0.0115	13	3.868749766	0.5449	0.3834	0.505	0.5096	0.1137	0.588	0.0517	0.4216	0.0684	0.5229	0.014370803020106	0.00771491857192	0.013489547707318
LG2	16500001	16600000	16547952	7835	4096	101.3919	78.7331	0.1258	0.032	0.0201	10		0.5255	0.5336	0.4919	0.5126	0.2545	0.5291	0.0885	0.5541	0.2074	0.4743	0.015198946694858	0.008488042867373	0.015539149210038
LG2	16600001	16700000	16650421	8013	4246	107.9508	119.5107	-0.0508	-0.018	-0.0097	12		0.3989	0.5342	0.3823	0.4065	0.2033	0.3516	0.0317	0.4312	0.1661	0.3082	0.018985510777473	0.010867435791366	0.017587509186203
LG2	16700001	16800000	16749242	7830	4482	75.9818	41.0443	0.2985	0.0558	0.0355	11		0.4776	0.5137	0.3423	0.4617	0.1666	0.4575	0.1095	0.5036	0.1861	0.41	0.012948458817585	0.006759219290538	0.013906676356614
LG2	16800001	16900000	16849749	5903	2890	121.9411	81.665	0.1978	0.1247	0.0619	10		0.2939	0.3569	0.2473	0.2808	0.1121	0.1871	0.0141	0.2178	0.1103	0.1327	0.018717097965779	0.012892945889307	0.01618266609359
LG2	16900001	17000000	16950638	7747	3787	62.6172	32.7552	0.3131	0.0689	0.0399	8	0	0.338	0.4403	0.3443	0.3687	0.1817	0.3047	-0.0132	0.3849	0.1881	0.289	0.012645527108711	0.009097317939464	0.01116259224847
LG2	17000001	17100000	17055052	7616	3780	81.5667	75.1709	0.0408	0.009	0.0056	8	0	0.434	0.6531	0.4173	0.4369	0.3863	0.4312	0.0298	0.5755	0.3409	0.3818	0.01671925276384	0.013052961668883	0.018458110284706
LG2	17100001	17200000	17150785	9216	4824	139.6169	94.3955	0.1932	0.0513	0.032	8	0.078329843	0.4237	0.5579	0.4558	0.4436	0.2054	0.4366	0.0317	0.536	0.225	0.3995	0.017608204266755	0.011542897075474	0.019227864961272
LG2	17200001	17300000	17253146	8098	4154	71.4661	109.3568	-0.2095	-0.0491	-0.0332	6	1.645329797	0.4611	0.4981	0.3503	0.4745	0.1564	0.4955	0.0953	0.5319	0.1973	0.4652	0.015427364203823	0.007594279091299	0.018746763920928
LG2	17300001	17400000	17345100	6454	3654	69.1725	203.4147	-0.4925	-0.2426	-0.1212	10	0	0.3789	0.3815	0.4534	0.3544	0.117	0.4225	0.0005	0.4504	0.1209	0.368	0.018144897078864	0.011502947896078	0.019678996479282
LG2	17400001	17500000	17448056	8142	4482	80.5837	100.43	-0.1096	-0.0289	-0.0178	8	7.983906855	0.5051	0.5265	0.4571	0.4608	0.2041	0.5022	0.0583	0.533	0.162	0.4313	0.01640408816833	0.008893691013688	0.017243971323478
LG2	17500001	17600000	17545962	8227	4100	97.1263	54.819	0.2784	0.0602	0.0387	6		0.4692	0.5299	0.3475	0.3939	0.108	0.3964	0.0261	0.4616	0.1196	0.2933	0.016725109486869	0.009941475900819	0.020390523540562
LG2	17600001	17700000	17648082	8672	4488	187.8682	89.3057	0.3556	0.1378	0.0763	8	0.4444286	0.562	0.6123	0.4523	0.5123	0.1159	0.3841	0.0552	0.4351	0.1355	0.3093	0.016256045907534	0.005235772531578	0.012279485607733
LG2	17700001	17800000	17750025	9264	5118	157.1995	93.6006	0.2536	0.0741	0.0414	8	0	0.5413	0.5987	0.4938	0.4972	0.0785	0.4404	0.0359	0.4912	0.1257	0.381	0.019375300643495	0.006839584008235	0.016296949425419
LG2	17800001	17900000	17846995	8781	4774	202.1644	70.1826	0.4846	0.1608	0.0998	12	4.84107628	0.558	0.5682	0.3244	0.591	0.1676	0.3784	0.0294	0.4055	0.173	0.3482	0.017402109438112	0.008574544862556	0.017622216683334
LG2	17900001	18000000	17946502	9713	4766	103.0264	154.0915	-0.1986	-0.0691	-0.0435	11		0.2869	0.3466	0.3657	0.2918	0.1812	0.3821	0.0368	0.4308	0.1633	0.3552	0.020708421321741	0.01503140966468	0.02139833901996
LG2	18000001	18100000	18035478	6805	2954	43.3438	44.2604	-0.0105	-0.0022	-0.0013	4		0.3149	0.3608	0.342	0.306	0.1548	0.315	0.0705	0.3661	0.2029	0.2839	0.019392842125103	0.01272210428497	0.017663848762801
LG2	18100001	18200000	18154979	5729	2952	106.3268	82.3268	0.1272	0.036	0.0284	11		0.168	0.2137	0.3029	0.2029	0.09	0.365	0.0538	0.4142	0.1267	0.3572	0.027931620630839	0.013977561287877	0.024871547164051
LG2	18200001	18300000	18250196	12107	6123	237.7327	92.363	0.4404	0.1763	0.0938	3		0.4227	0.4618	0.404	0.4411	0.1284	0.3544	0.0675	0.3468	0.1454	0.3305	0.025431109540686	0.014271112214919	0.020505711725913
